,participant,config,verdict
0,NDS-BRKGA,eil76_n225_bounded-strongly-corr,=
1,NDS-BRKGA,eil76_n225_uncorr-similar-weights,=
2,NDS-BRKGA,eil76_n225_uncorr,=
3,NDS-BRKGA,eil76_n375_bounded-strongly-corr,=
4,NDS-BRKGA,eil76_n375_uncorr-similar-weights,=
5,NDS-BRKGA,eil76_n375_uncorr,=
6,NDS-BRKGA,eil76_n750_bounded-strongly-corr,=
7,NDS-BRKGA,eil76_n750_uncorr-similar-weights,=
8,NDS-BRKGA,eil76_n750_uncorr,=
9,NDS-BRKGA,eil76_n75_bounded-strongly-corr,=
10,NDS-BRKGA,eil76_n75_uncorr-similar-weights,=
11,NDS-BRKGA,eil76_n75_uncorr,=
12,PN-PHN,eil76_n225_bounded-strongly-corr,-
13,PN-PHN,eil76_n225_uncorr-similar-weights,=
14,PN-PHN,eil76_n225_uncorr,-
15,PN-PHN,eil76_n375_bounded-strongly-corr,=
16,PN-PHN,eil76_n375_uncorr-similar-weights,+
17,PN-PHN,eil76_n375_uncorr,=
18,PN-PHN,eil76_n750_bounded-strongly-corr,=
19,PN-PHN,eil76_n750_uncorr-similar-weights,+
20,PN-PHN,eil76_n750_uncorr,=
21,PN-PHN,eil76_n75_bounded-strongly-corr,-
22,PN-PHN,eil76_n75_uncorr-similar-weights,-
23,PN-PHN,eil76_n75_uncorr,-
24,AM-PHN,eil76_n225_bounded-strongly-corr,-
25,AM-PHN,eil76_n225_uncorr-similar-weights,+
26,AM-PHN,eil76_n225_uncorr,=
27,AM-PHN,eil76_n375_bounded-strongly-corr,=
28,AM-PHN,eil76_n375_uncorr-similar-weights,+
29,AM-PHN,eil76_n375_uncorr,=
30,AM-PHN,eil76_n750_bounded-strongly-corr,+
31,AM-PHN,eil76_n750_uncorr-similar-weights,+
32,AM-PHN,eil76_n750_uncorr,+
33,AM-PHN,eil76_n75_bounded-strongly-corr,-
34,AM-PHN,eil76_n75_uncorr-similar-weights,-
35,AM-PHN,eil76_n75_uncorr,-
36,PN-DRLMOA,eil76_n225_bounded-strongly-corr,-
37,PN-DRLMOA,eil76_n225_uncorr-similar-weights,-
38,PN-DRLMOA,eil76_n225_uncorr,=
39,PN-DRLMOA,eil76_n375_bounded-strongly-corr,=
40,PN-DRLMOA,eil76_n375_uncorr-similar-weights,+
41,PN-DRLMOA,eil76_n375_uncorr,+
42,PN-DRLMOA,eil76_n750_bounded-strongly-corr,+
43,PN-DRLMOA,eil76_n750_uncorr-similar-weights,+
44,PN-DRLMOA,eil76_n750_uncorr,+
45,PN-DRLMOA,eil76_n75_bounded-strongly-corr,-
46,PN-DRLMOA,eil76_n75_uncorr-similar-weights,-
47,PN-DRLMOA,eil76_n75_uncorr,-
48,AM-DRLMOA,eil76_n225_bounded-strongly-corr,=
49,AM-DRLMOA,eil76_n225_uncorr-similar-weights,=
50,AM-DRLMOA,eil76_n225_uncorr,+
51,AM-DRLMOA,eil76_n375_bounded-strongly-corr,=
52,AM-DRLMOA,eil76_n375_uncorr-similar-weights,+
53,AM-DRLMOA,eil76_n375_uncorr,+
54,AM-DRLMOA,eil76_n750_bounded-strongly-corr,+
55,AM-DRLMOA,eil76_n750_uncorr-similar-weights,+
56,AM-DRLMOA,eil76_n750_uncorr,+
57,AM-DRLMOA,eil76_n75_bounded-strongly-corr,-
58,AM-DRLMOA,eil76_n75_uncorr-similar-weights,-
59,AM-DRLMOA,eil76_n75_uncorr,-
60,PN-MBPS,eil76_n225_bounded-strongly-corr,=
61,PN-MBPS,eil76_n225_uncorr-similar-weights,+
62,PN-MBPS,eil76_n225_uncorr,-
63,PN-MBPS,eil76_n375_bounded-strongly-corr,=
64,PN-MBPS,eil76_n375_uncorr-similar-weights,+
65,PN-MBPS,eil76_n375_uncorr,=
66,PN-MBPS,eil76_n750_bounded-strongly-corr,=
67,PN-MBPS,eil76_n750_uncorr-similar-weights,+
68,PN-MBPS,eil76_n750_uncorr,=
69,PN-MBPS,eil76_n75_bounded-strongly-corr,-
70,PN-MBPS,eil76_n75_uncorr-similar-weights,-
71,PN-MBPS,eil76_n75_uncorr,-
72,AM-MBPS,eil76_n225_bounded-strongly-corr,-
73,AM-MBPS,eil76_n225_uncorr-similar-weights,=
74,AM-MBPS,eil76_n225_uncorr,-
75,AM-MBPS,eil76_n375_bounded-strongly-corr,=
76,AM-MBPS,eil76_n375_uncorr-similar-weights,+
77,AM-MBPS,eil76_n375_uncorr,=
78,AM-MBPS,eil76_n750_bounded-strongly-corr,=
79,AM-MBPS,eil76_n750_uncorr-similar-weights,+
80,AM-MBPS,eil76_n750_uncorr,+
81,AM-MBPS,eil76_n75_bounded-strongly-corr,-
82,AM-MBPS,eil76_n75_uncorr-similar-weights,-
83,AM-MBPS,eil76_n75_uncorr,-
