,participant,config,verdict
0,NDS-BRKGA,ch150_n1490_bounded-strongly-corr,=
1,NDS-BRKGA,ch150_n1490_uncorr-similar-weights,=
2,NDS-BRKGA,ch150_n1490_uncorr,=
3,NDS-BRKGA,ch150_n149_bounded-strongly-corr,=
4,NDS-BRKGA,ch150_n149_uncorr-similar-weights,=
5,NDS-BRKGA,ch150_n149_uncorr,=
6,NDS-BRKGA,ch150_n447_bounded-strongly-corr,=
7,NDS-BRKGA,ch150_n447_uncorr-similar-weights,=
8,NDS-BRKGA,ch150_n447_uncorr,=
9,NDS-BRKGA,ch150_n745_bounded-strongly-corr,=
10,NDS-BRKGA,ch150_n745_uncorr-similar-weights,=
11,NDS-BRKGA,ch150_n745_uncorr,=
12,PN-PHN,ch150_n1490_bounded-strongly-corr,=
13,PN-PHN,ch150_n1490_uncorr-similar-weights,=
14,PN-PHN,ch150_n1490_uncorr,-
15,PN-PHN,ch150_n149_bounded-strongly-corr,-
16,PN-PHN,ch150_n149_uncorr-similar-weights,-
17,PN-PHN,ch150_n149_uncorr,-
18,PN-PHN,ch150_n447_bounded-strongly-corr,-
19,PN-PHN,ch150_n447_uncorr-similar-weights,-
20,PN-PHN,ch150_n447_uncorr,-
21,PN-PHN,ch150_n745_bounded-strongly-corr,-
22,PN-PHN,ch150_n745_uncorr-similar-weights,-
23,PN-PHN,ch150_n745_uncorr,-
24,AM-PHN,ch150_n1490_bounded-strongly-corr,=
25,AM-PHN,ch150_n1490_uncorr-similar-weights,=
26,AM-PHN,ch150_n1490_uncorr,-
27,AM-PHN,ch150_n149_bounded-strongly-corr,-
28,AM-PHN,ch150_n149_uncorr-similar-weights,-
29,AM-PHN,ch150_n149_uncorr,-
30,AM-PHN,ch150_n447_bounded-strongly-corr,-
31,AM-PHN,ch150_n447_uncorr-similar-weights,-
32,AM-PHN,ch150_n447_uncorr,-
33,AM-PHN,ch150_n745_bounded-strongly-corr,=
34,AM-PHN,ch150_n745_uncorr-similar-weights,=
35,AM-PHN,ch150_n745_uncorr,-
36,PN-DRLMOA,ch150_n1490_bounded-strongly-corr,=
37,PN-DRLMOA,ch150_n1490_uncorr-similar-weights,+
38,PN-DRLMOA,ch150_n1490_uncorr,-
39,PN-DRLMOA,ch150_n149_bounded-strongly-corr,-
40,PN-DRLMOA,ch150_n149_uncorr-similar-weights,-
41,PN-DRLMOA,ch150_n149_uncorr,-
42,PN-DRLMOA,ch150_n447_bounded-strongly-corr,-
43,PN-DRLMOA,ch150_n447_uncorr-similar-weights,-
44,PN-DRLMOA,ch150_n447_uncorr,-
45,PN-DRLMOA,ch150_n745_bounded-strongly-corr,-
46,PN-DRLMOA,ch150_n745_uncorr-similar-weights,=
47,PN-DRLMOA,ch150_n745_uncorr,-
48,AM-DRLMOA,ch150_n1490_bounded-strongly-corr,=
49,AM-DRLMOA,ch150_n1490_uncorr-similar-weights,+
50,AM-DRLMOA,ch150_n1490_uncorr,=
51,AM-DRLMOA,ch150_n149_bounded-strongly-corr,-
52,AM-DRLMOA,ch150_n149_uncorr-similar-weights,-
53,AM-DRLMOA,ch150_n149_uncorr,-
54,AM-DRLMOA,ch150_n447_bounded-strongly-corr,-
55,AM-DRLMOA,ch150_n447_uncorr-similar-weights,-
56,AM-DRLMOA,ch150_n447_uncorr,-
57,AM-DRLMOA,ch150_n745_bounded-strongly-corr,-
58,AM-DRLMOA,ch150_n745_uncorr-similar-weights,-
59,AM-DRLMOA,ch150_n745_uncorr,-
60,PN-MBPS,ch150_n1490_bounded-strongly-corr,=
61,PN-MBPS,ch150_n1490_uncorr-similar-weights,=
62,PN-MBPS,ch150_n1490_uncorr,-
63,PN-MBPS,ch150_n149_bounded-strongly-corr,-
64,PN-MBPS,ch150_n149_uncorr-similar-weights,-
65,PN-MBPS,ch150_n149_uncorr,-
66,PN-MBPS,ch150_n447_bounded-strongly-corr,-
67,PN-MBPS,ch150_n447_uncorr-similar-weights,-
68,PN-MBPS,ch150_n447_uncorr,-
69,PN-MBPS,ch150_n745_bounded-strongly-corr,-
70,PN-MBPS,ch150_n745_uncorr-similar-weights,=
71,PN-MBPS,ch150_n745_uncorr,-
72,AM-MBPS,ch150_n1490_bounded-strongly-corr,=
73,AM-MBPS,ch150_n1490_uncorr-similar-weights,+
74,AM-MBPS,ch150_n1490_uncorr,-
75,AM-MBPS,ch150_n149_bounded-strongly-corr,-
76,AM-MBPS,ch150_n149_uncorr-similar-weights,-
77,AM-MBPS,ch150_n149_uncorr,-
78,AM-MBPS,ch150_n447_bounded-strongly-corr,-
79,AM-MBPS,ch150_n447_uncorr-similar-weights,-
80,AM-MBPS,ch150_n447_uncorr,-
81,AM-MBPS,ch150_n745_bounded-strongly-corr,-
82,AM-MBPS,ch150_n745_uncorr-similar-weights,=
83,AM-MBPS,ch150_n745_uncorr,-
